"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.180679415E2,6.503784500E1,2.555362500E1,6.721453435E0,1.689833045E0,1.410299988E2,2.000000000E0,1.330000019E1
1.190679415E2,6.503783333E1,2.555365000E1,6.821454669E0,1.667700052E0,1.359900055E2,2.000000000E0,1.310000038E1
1.200679415E2,6.503782333E1,2.555367167E1,6.421455703E0,1.669244170E0,1.336699982E2,2.099999905E0,1.319999981E1
1.210679415E2,6.503781167E1,2.555369500E1,6.221457096E0,1.643508077E0,1.407599945E2,2.000000000E0,1.230000019E1
1.220679415E2,6.503779833E1,2.555371500E1,5.821459327E0,1.658434987E0,1.419299927E2,1.899999976E0,1.189999962E1
1.230679415E2,6.503778167E1,2.555374333E1,6.221461796E0,1.658949733E0,1.385500031E2,1.899999976E0,1.169999981E1
1.240679415E2,6.503777167E1,2.555377333E1,6.521462028E0,1.619316101E0,1.536699982E2,1.799999952E0,1.180000019E1
1.250679415E2,6.503776500E1,2.555378667E1,6.221462823E0,1.586888552E0,1.482899933E2,1.799999952E0,1.180000019E1
1.260679415E2,6.503775667E1,2.555380000E1,6.221464136E0,1.582256079E0,1.451499939E2,1.799999952E0,1.189999962E1
1.270679415E2,6.503774167E1,2.555382833E1,6.121466084E0,1.563726068E0,1.432599945E2,1.799999952E0,1.180000019E1
1.280679415E2,6.503772500E1,2.555385333E1,6.621468871E0,1.599756718E0,1.334700012E2,1.700000048E0,1.160000038E1
1.290679415E2,6.503771167E1,2.555387833E1,7.121470619E0,1.593065262E0,1.443200073E2,1.700000048E0,1.150000000E1
1.300679415E2,6.503769833E1,2.555389833E1,7.621472847E0,1.579682469E0,1.424400024E2,1.600000024E0,1.200000000E1
1.310679415E2,6.503768500E1,2.555391500E1,8.221475395E0,1.585859179E0,1.490700073E2,1.600000024E0,1.200000000E1
1.320679415E2,6.503767333E1,2.555394000E1,8.821476623E0,1.569902778E0,1.393800049E2,1.600000024E0,1.219999981E1
1.330679415E2,6.503766167E1,2.555396333E1,9.121478010E0,1.557549477E0,1.493600006E2,1.700000048E0,1.200000000E1
1.340679415E2,6.503764667E1,2.555398000E1,9.321481076E0,1.611080527E0,1.411399994E2,1.700000048E0,1.219999981E1
1.350679415E2,6.503763333E1,2.555399667E1,9.621483623E0,1.657920241E0,1.458699951E2,1.600000024E0,1.200000000E1
1.360679415E2,6.503762333E1,2.555401833E1,9.921484651E0,1.658434987E0,1.449700012E2,1.600000024E0,1.230000019E1
1.370679415E2,6.503761000E1,2.555403333E1,1.012148736E1,1.664611697E0,1.445299988E2,1.600000024E0,1.189999962E1
1.380679415E2,6.503759667E1,2.555405500E1,1.002148942E1,1.640934467E0,1.455700073E2,1.600000024E0,1.219999981E1
1.390679415E2,6.503758333E1,2.555407833E1,9.921491326E0,1.628066421E0,1.437400055E2,1.700000048E0,1.200000000E1
1.400679415E2,6.503757167E1,2.555410167E1,9.821492710E0,1.636301994E0,1.378500061E2,1.700000048E0,1.230000019E1
1.410679415E2,6.503756000E1,2.555412833E1,9.821493774E0,1.653287768E0,1.271399994E2,1.700000048E0,1.189999962E1
1.420679415E2,6.503754500E1,2.555416167E1,1.012149523E1,1.676450253E0,1.476000061E2,1.700000048E0,1.169999981E1
1.430679415E2,6.503753167E1,2.555419000E1,9.921496652E0,1.656890869E0,1.454600067E2,1.700000048E0,1.150000000E1
1.440679415E2,6.503752000E1,2.555421333E1,9.921498035E0,1.621889710E0,1.402400055E2,1.600000024E0,1.150000000E1
1.450679415E2,6.503751000E1,2.555423333E1,9.821499220E0,1.617257237E0,1.469700012E2,1.600000024E0,1.150000000E1
1.460679415E2,6.503749667E1,2.555425333E1,9.821501441E0,1.620345592E0,1.684199982E2,1.600000024E0,1.160000038E1
1.470679415E2,6.503748333E1,2.555425833E1,9.821505106E0,1.606448054E0,1.506999969E2,1.700000048E0,1.169999981E1
1.480679415E2,6.503747000E1,2.555426667E1,1.052150845E1,1.588947535E0,2.003500061E2,1.600000024E0,1.160000038E1
1.490679415E2,6.503745667E1,2.555425333E1,1.122151388E1,1.607477546E0,2.273200073E2,1.600000024E0,1.150000000E1
1.500679415E2,6.503744167E1,2.555423167E1,1.182152063E1,1.608506918E0,2.333999939E2,1.600000024E0,1.139999962E1
1.510679415E2,6.503743000E1,2.555420000E1,1.202152732E1,1.627551675E0,2.339600067E2,1.700000048E0,1.150000000E1
1.520679415E2,6.503742000E1,2.555416500E1,1.212153380E1,1.578653097E0,2.405299988E2,1.700000048E0,1.160000038E1
1.530679415E2,6.503740833E1,2.555413667E1,1.222154016E1,1.592035890E0,2.352899933E2,1.700000048E0,1.169999981E1
1.540679415E2,6.503739667E1,2.555410000E1,1.212154732E1,1.648140550E0,2.271399994E2,1.700000048E0,1.150000000E1
1.550679415E2,6.503738500E1,2.555406167E1,1.182155465E1,1.633213639E0,2.358099976E2,1.700000048E0,1.110000038E1
